"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","organic substance metabolic process","GO:0071704","0.024182832492310628","1.6164928323530006","5346","326","65","39530","LOC111108931,LOC111131721,LOC111104113,LOC111136710,LOC111103474,LOC111110464,LOC111122333,LOC111119483,LOC111120401,LOC111119756,LOC111119760,LOC111119758,LOC111119651,LOC111118136,LOC111118433,LOC111119745,LOC111125599,LOC111127354,LOC111127355,LOC111126181,LOC111126182,LOC111127542,LOC111126744,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111124498,LOC111127463,LOC111124501,LOC111124500,LOC111127813,LOC111136051,LOC111136760,LOC111135147,LOC111137641,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132178,LOC111132186,LOC111134949,LOC111136551,LOC111135254,LOC111137258,LOC111136234,LOC111136235,LOC111137105,LOC111137330,LOC111134749,LOC111134446,LOC111136420,LOC111136727,LOC111135880,LOC111132341,LOC111135492,LOC111099222,LOC111133224,LOC111102071,LOC111101249,LOC111101097"
"GO:BP","metabolic process","GO:0008152","0.027222245574411944","1.5650760525217104","5548","326","66","39530","LOC111108931,LOC111131721,LOC111104113,LOC111136710,LOC111103474,LOC111110464,LOC111122333,LOC111119483,LOC111120401,LOC111119756,LOC111119760,LOC111119758,LOC111119651,LOC111118136,LOC111118433,LOC111119745,LOC111119950,LOC111125599,LOC111127354,LOC111127355,LOC111126181,LOC111126182,LOC111127542,LOC111126744,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111124498,LOC111127463,LOC111124501,LOC111124500,LOC111127813,LOC111136051,LOC111136760,LOC111135147,LOC111137641,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132178,LOC111132186,LOC111134949,LOC111136551,LOC111135254,LOC111137258,LOC111136234,LOC111136235,LOC111137105,LOC111137330,LOC111134749,LOC111134446,LOC111136420,LOC111136727,LOC111135880,LOC111132341,LOC111135492,LOC111099222,LOC111133224,LOC111102071,LOC111101249,LOC111101097"
"GO:BP","nitrogen compound metabolic process","GO:0006807","0.027222245574411944","1.5650760525217104","4671","316","56","39530","LOC111108931,LOC111131721,LOC111104113,LOC111136710,LOC111103474,LOC111110464,LOC111122333,LOC111119483,LOC111120401,LOC111119756,LOC111119760,LOC111119758,LOC111119651,LOC111118433,LOC111119745,LOC111125599,LOC111127354,LOC111127355,LOC111126181,LOC111126182,LOC111126744,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111124498,LOC111127463,LOC111124500,LOC111127813,LOC111136760,LOC111135147,LOC111137641,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111134949,LOC111136551,LOC111135254,LOC111137258,LOC111136234,LOC111136235,LOC111137105,LOC111137330,LOC111134749,LOC111134446,LOC111136420,LOC111136727,LOC111135880,LOC111132341,LOC111135492,LOC111133224"
"GO:BP","RNA biosynthetic process","GO:0032774","0.02807720353681856","1.551646149712015","826","240","13","39530","LOC111119651,LOC111127355,LOC111126181,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","heterocycle biosynthetic process","GO:0018130","0.02807720353681856","1.551646149712015","1124","240","16","39530","LOC111110464,LOC111119651,LOC111127355,LOC111126181,LOC111124727,LOC111124445,LOC111124726,LOC111125017,LOC111126361,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","organonitrogen compound biosynthetic process","GO:1901566","0.02807720353681856","1.551646149712015","657","163","9","39530","LOC111110464,LOC111122333,LOC111119758,LOC111119745,LOC111127354,LOC111124731,LOC111126361,LOC111124498,LOC111127463"
"GO:BP","aromatic compound biosynthetic process","GO:0019438","0.02807720353681856","1.551646149712015","1145","240","16","39530","LOC111110464,LOC111119651,LOC111127355,LOC111126181,LOC111124727,LOC111124445,LOC111124726,LOC111125017,LOC111126361,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","transcription by RNA polymerase III","GO:0006383","0.02807720353681856","1.551646149712015","20","127","2","39530","LOC111127355,LOC111126181"
"GO:BP","nucleic acid-templated transcription","GO:0097659","0.02807720353681856","1.551646149712015","820","240","13","39530","LOC111119651,LOC111127355,LOC111126181,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","D-amino acid metabolic process","GO:0046416","0.02807720353681856","1.551646149712015","10","262","2","39530","LOC111136234,LOC111136235"
"GO:BP","DNA-templated transcription","GO:0006351","0.02807720353681856","1.551646149712015","820","240","13","39530","LOC111119651,LOC111127355,LOC111126181,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","Golgi ribbon formation","GO:0090161","0.02807720353681856","1.551646149712015","1","57","1","39530","LOC111119666"
"GO:BP","protein folding","GO:0006457","0.028197449058695662","1.5497901792637256","78","1","1","39530","LOC111108931"
"GO:BP","nucleobase catabolic process","GO:0046113","0.02870258394127562","1.5420790042791235","2","41","1","39530","LOC111119483"
"GO:BP","phosphatidylinositol metabolic process","GO:0046488","0.02889847904859737","1.5391250139280026","66","325","4","39530","LOC111122333,LOC111136051,LOC111102071,LOC111101249"
"GO:BP","organic cyclic compound biosynthetic process","GO:1901362","0.02889847904859737","1.5391250139280026","1167","240","16","39530","LOC111110464,LOC111119651,LOC111127355,LOC111126181,LOC111124727,LOC111124445,LOC111124726,LOC111125017,LOC111126361,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","cellular process","GO:0009987","0.029986961157948983","1.5230675428834513","8457","207","62","39530","LOC111108931,LOC111131721,LOC111136710,LOC111121126,LOC111103474,LOC111110464,LOC111120624,LOC111122333,LOC111119483,LOC111121262,LOC111120701,LOC111119666,LOC111119932,LOC111120401,LOC111119753,LOC111119756,LOC111119760,LOC111119758,LOC111119651,LOC111118136,LOC111120417,LOC111120674,LOC111121579,LOC111121344,LOC111119745,LOC111119404,LOC111119950,LOC111125599,LOC111125408,LOC111127353,LOC111127354,LOC111127355,LOC111126181,LOC111126182,LOC111126744,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111125553,LOC111126361,LOC111124498,LOC111124715,LOC111124712,LOC111127463,LOC111124500,LOC111129857,LOC111129858,LOC111136051,LOC111136760,LOC111137049,LOC111138472,LOC111136174,LOC111135147,LOC111137071,LOC111137641,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718"
"GO:BP","cellular macromolecule biosynthetic process","GO:0034645","0.03084831916617582","1.5107684944100463","450","163","7","39530","LOC111122333,LOC111119758,LOC111119745,LOC111127354,LOC111124731,LOC111124498,LOC111127463"
"GO:BP","primary metabolic process","GO:0044238","0.03084831916617582","1.5107684944100463","5112","326","60","39530","LOC111108931,LOC111131721,LOC111104113,LOC111136710,LOC111103474,LOC111122333,LOC111119483,LOC111120401,LOC111119756,LOC111119760,LOC111119758,LOC111119651,LOC111118433,LOC111119745,LOC111125599,LOC111127354,LOC111127355,LOC111126181,LOC111126182,LOC111126744,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111124498,LOC111127463,LOC111124501,LOC111124500,LOC111127813,LOC111136051,LOC111136760,LOC111135147,LOC111137641,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132178,LOC111132186,LOC111134949,LOC111136551,LOC111135254,LOC111137258,LOC111136234,LOC111136235,LOC111137105,LOC111137330,LOC111134749,LOC111134446,LOC111136727,LOC111135880,LOC111132341,LOC111135492,LOC111099222,LOC111133224,LOC111102071,LOC111101249,LOC111101097"
"GO:BP","regulation of nucleic acid-templated transcription","GO:1903506","0.03084831916617582","1.5107684944100463","677","240","11","39530","LOC111119651,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","phospholipid metabolic process","GO:0006644","0.03084831916617582","1.5107684944100463","118","325","5","39530","LOC111122333,LOC111136051,LOC111132178,LOC111102071,LOC111101249"
"GO:BP","oligopeptide transport","GO:0006857","0.03084831916617582","1.5107684944100463","2","55","1","39530","LOC111121262"
"GO:BP","peptidyl-amino acid modification","GO:0018193","0.03084831916617582","1.5107684944100463","108","1","1","39530","LOC111108931"
"GO:BP","organonitrogen compound metabolic process","GO:1901564","0.03084831916617582","1.5107684944100463","2672","326","36","39530","LOC111108931,LOC111104113,LOC111136710,LOC111103474,LOC111110464,LOC111122333,LOC111119483,LOC111119760,LOC111119758,LOC111118433,LOC111119745,LOC111125599,LOC111127354,LOC111126744,LOC111124731,LOC111126361,LOC111124498,LOC111127463,LOC111127813,LOC111136760,LOC111135147,LOC111137641,LOC111134949,LOC111137258,LOC111136234,LOC111136235,LOC111137105,LOC111137330,LOC111134749,LOC111134446,LOC111136420,LOC111136727,LOC111135880,LOC111132341,LOC111133224,LOC111101097"
"GO:BP","regulation of DNA-templated transcription","GO:0006355","0.03084831916617582","1.5107684944100463","677","240","11","39530","LOC111119651,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","regulation of RNA biosynthetic process","GO:2001141","0.03084831916617582","1.5107684944100463","677","240","11","39530","LOC111119651,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","regulation of RNA metabolic process","GO:0051252","0.032498891097233494","1.488131457438621","694","240","11","39530","LOC111119651,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","cellular nitrogen compound metabolic process","GO:0034641","0.032498891097233494","1.488131457438621","2567","240","27","39530","LOC111131721,LOC111110464,LOC111119483,LOC111120401,LOC111119756,LOC111119760,LOC111119651,LOC111119745,LOC111127354,LOC111127355,LOC111126181,LOC111126182,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111124500,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111136551,LOC111135254"
"GO:BP","glycerophospholipid metabolic process","GO:0006650","0.032498891097233494","1.488131457438621","78","325","4","39530","LOC111122333,LOC111136051,LOC111102071,LOC111101249"
"GO:BP","ethanol oxidation","GO:0006069","0.032498891097233494","1.488131457438621","2","90","1","39530","LOC111118136"
"GO:BP","regulation of gene expression","GO:0010468","0.032498891097233494","1.488131457438621","791","240","12","39530","LOC111119651,LOC111127542,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","regulation of biosynthetic process","GO:0009889","0.032498891097233494","1.488131457438621","705","240","11","39530","LOC111119651,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","pyridoxal phosphate metabolic process","GO:0042822","0.032498891097233494","1.488131457438621","6","29","1","39530","LOC111110464"
"GO:BP","pyridoxal phosphate biosynthetic process","GO:0042823","0.032498891097233494","1.488131457438621","6","29","1","39530","LOC111110464"
"GO:BP","regulation of macromolecule biosynthetic process","GO:0010556","0.032498891097233494","1.488131457438621","705","240","11","39530","LOC111119651,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
