gene_id,CASE_J03,CASE_J09,CASE_J12,CASE_J13,CA_J06,CA_J08,CA_J11,CA_J18,CON_J02,CON_J05,CON_J10,SE_J01,SE_J04,SE_J07
MSTRG.1537|LOC111122145,9,6,6,15,4,50,17,24,29,34,6,36,2,11
gene8023|LOC111121509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.35438,119,200,179,211,84,102,93,164,128,119,186,149,168,168
gene28044|LOC111104433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene35980|LOC111111101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21332|LOC111133986,5,0,2,2,0,2,3,0,4,0,5,0,0,7
MSTRG.28405|LOC111138328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.32423,1,9,6,25,7,9,6,5,14,8,4,11,1,6
MSTRG.35430,511,517,560,752,405,316,470,658,715,581,608,651,395,765
MSTRG.32421,35,60,31,67,60,34,45,35,41,43,47,68,9,75
MSTRG.35432,949,2085,1099,2883,228,859,1057,2504,1181,1136,2146,2365,2854,289
MSTRG.32427,156,216,185,262,168,196,105,218,251,245,173,183,181,126
MSTRG.35434,8568,10246,8719,9697,7969,6947,6521,8183,10685,8944,8968,8397,5448,12556
MSTRG.35437,123,304,166,276,136,127,172,209,266,173,258,174,213,226
gene37930|LOC111111241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene39451|LOC111117566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene242|LOC111101185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5881|LOC111120224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene23198|LOC111100107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21751,9127,11077,10250,12492,7478,6205,7644,10486,10015,9626,10503,11166,9021,10685
MSTRG.36686|LOC111107655,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MSTRG.23455|LOC111137580,0,0,0,6,0,0,8,0,0,6,10,3,8,8
MSTRG.5172|LOC111118651,0,0,0,0,0,0,0,0,0,0,0,2,0,0
gene36398|LOC111114117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene3880|LOC111108555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.19714|LOC111131176,3,0,0,0,0,2,0,5,0,0,3,0,0,4
MSTRG.961|LOC111099300,1,1,2,0,2,14,0,6,5,0,0,0,0,1
gene28138|LOC111102430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18145|LOC111128590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.36475|Trnak-cuu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.207,743,1086,849,921,618,464,622,978,970,1106,1580,806,1234,1108
MSTRG.23227|LOC111133527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.202,1236,2165,1266,1390,805,572,983,1114,1183,1360,1594,1081,1042,1703
gene3222|LOC111119701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.17333|LOC111128428,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MSTRG.42237|LOC111112080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.43828,37,33,19,26,29,29,38,27,17,36,20,16,33,45
gene8776|LOC111124035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene33073|LOC111110730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene6237|LOC111120039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.9993,1974,2928,2036,3102,1398,1327,1876,2876,2088,2166,2739,2650,2409,1794
MSTRG.9991,45655,46526,38951,42080,35444,28137,31531,35784,44863,46847,48376,40708,28646,62366
MSTRG.9996,6618,11792,7275,8488,4823,4262,5583,8081,7587,8593,11467,8193,6614,8146
MSTRG.4954|LOC111119189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.7720|LOC111121625,28,24,11,23,19,24,19,15,18,28,27,27,15,33
MSTRG.9995,527,1098,521,1314,73,434,615,1415,506,352,976,1022,1109,204
MSTRG.9998,81,239,156,221,49,89,90,204,131,137,166,221,239,57
MSTRG.9999,202,294,256,314,143,171,191,305,248,296,380,311,338,296
MSTRG.27546|LOC111137155,8,4,0,11,0,7,2,7,17,14,10,5,8,16
MSTRG.10439|LOC111126887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.35533|LOC111106693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.24638|LOC111137662,0,0,1,0,2,0,0,5,0,2,0,3,0,0
MSTRG.6611|LOC111121469,0,7,8,6,8,10,2,4,7,6,4,18,0,9
MSTRG.9086|LOC111120342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene34282|LOC111112708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.11378|LOC111124101,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MSTRG.8354|LOC111120062,8,2,0,0,0,0,0,0,7,3,1,5,4,2
gene21033|LOC111138349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.17587,209,259,199,196,123,132,108,134,100,146,131,184,207,269
MSTRG.4553|LOC111129809,3,5,1,5,0,3,4,2,1,3,4,7,1,4
MSTRG.13069,19,18,14,15,24,30,15,14,18,19,7,15,6,21
MSTRG.28062|LOC111136306,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.20823|LOC111131194,0,0,0,2,0,0,0,0,0,0,0,5,0,3
MSTRG.21101|LOC111134103,5,1,4,12,2,11,0,1,6,4,2,1,0,20
gene267|LOC111109243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.2427|LOC111109904,6,0,0,9,0,0,6,0,7,14,0,10,0,28
MSTRG.23346,739,1501,960,1430,585,744,857,1348,864,1223,1516,1261,1394,977
gene3047|LOC111118931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene32715|LOC111105797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene34565|LOC111113067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34748,20,34,39,25,36,33,35,25,27,16,17,29,23,29
MSTRG.34749,472,737,550,667,409,429,401,521,566,589,731,498,452,706
gene37022|LOC111115723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.12873,10217,12306,9066,12940,8435,9400,8527,10476,14262,12766,13788,12695,10719,15668
MSTRG.42478|LOC111111726,44,0,64,52,20,0,0,59,44,61,70,42,0,72
MSTRG.34740,0,2,9,12,1,7,7,10,4,7,25,8,6,2
MSTRG.34741,28,36,46,59,27,23,30,33,44,34,23,45,40,56
MSTRG.34742,1393,1688,1659,2100,1149,1324,1037,1490,1898,1459,1581,1669,1316,2012
gene12787|LOC111128191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34745,327,477,473,579,259,164,299,476,497,399,475,426,376,590
MSTRG.34747,9203,14170,8840,14606,5980,7061,9020,13832,10796,12528,17787,13497,13262,9991
gene2808|Trnaf-gaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.19846,995,1707,1782,1704,781,969,879,1542,1200,1204,1277,1433,1251,974
gene21370|LOC111135595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.9375|LOC111118897,0,0,0,1,0,0,0,1,0,1,1,1,0,0
MSTRG.25054|LOC111135240,0,0,0,0,0,0,0,3,0,0,0,0,0,0
gene33014|LOC111111255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.19845,789,1226,814,1361,537,644,655,1138,853,873,892,903,615,1019
MSTRG.26938,6116,9118,5731,11189,3022,4791,5200,10454,6445,4899,6176,10447,8215,4822
MSTRG.26939,120,162,93,207,84,107,106,194,159,153,147,168,150,194
gene15339|LOC111131308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.2896|LOC111115549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.26936,731,1113,841,1085,783,676,587,805,1294,783,768,887,669,1315
MSTRG.26930,0,0,12,12,0,0,0,0,8,0,10,30,13,0
MSTRG.26931,44,57,79,73,40,30,25,46,63,76,48,92,79,93
MSTRG.26932,3,0,16,34,13,6,19,19,22,33,30,31,23,48
MSTRG.26933,817,1217,1031,1192,646,665,706,1090,1011,1108,1160,1215,1157,1168
gene31387|LOC111110403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34785|LOC111105210,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MSTRG.39728|LOC111113681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene2154|LOC111120206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.35466|LOC111109470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5618|LOC111120874,0,0,2,4,0,1,0,1,1,3,2,4,3,2
MSTRG.8385|LOC111118065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene6931|LOC111121927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3995|LOC111134492,0,10,6,11,37,0,0,0,15,2,6,0,5,11
MSTRG.33860,5141,8082,6223,8465,3255,4188,4480,6757,6719,5909,7914,7520,6550,5977
MSTRG.8739,14,18,15,25,15,15,14,26,13,10,18,17,20,15
MSTRG.28561|LOC111137627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.36427,549,488,413,448,411,242,353,459,346,376,459,387,308,454
gene18583|LOC111136518,0,3,0,2,2,2,2,1,0,0,0,2,3,0
MSTRG.39874|LOC111115261,0,0,0,0,0,4,0,0,0,0,0,0,0,0
MSTRG.29676|LOC111100757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.36429,306,485,477,515,88,240,281,581,385,410,504,430,533,181
MSTRG.36428,266,431,189,351,242,152,151,306,249,244,152,417,252,337
MSTRG.30119,44,46,57,39,19,25,39,48,32,26,31,62,27,30
MSTRG.30118,20,26,9,28,7,28,7,34,24,29,55,20,55,13
MSTRG.3944|LOC111099359,0,3,0,6,0,0,0,0,0,0,0,0,0,0
MSTRG.28580,232,225,227,249,143,171,258,212,224,201,280,236,148,269
MSTRG.41564|LOC111114111,0,0,0,0,3,2,0,2,3,2,2,0,0,7
MSTRG.22116|LOC111133892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.12331,1769,2768,2389,2524,1382,1255,1644,2131,2345,2229,2361,2325,1917,2240
MSTRG.30112,68,46,39,42,45,19,33,43,38,57,68,48,43,60
MSTRG.30115,5,0,2,0,7,2,0,2,6,5,0,17,4,4
MSTRG.30114,53,63,37,58,24,41,21,34,25,50,21,33,24,64
MSTRG.2086|LOC111136618,11,14,8,0,0,0,5,12,0,11,14,14,0,7
MSTRG.6905,194,100,192,341,469,1442,123,270,429,313,108,184,42,715
MSTRG.21651,1478,2997,1951,2680,921,1159,1537,2408,1782,2474,2946,2830,3078,1892
MSTRG.35932,38,47,38,74,28,33,43,58,44,43,49,49,29,50
gene19688|Trnaq-cug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
